Station Id,Name,Latitude,Longitude,Number of Bikes
7118,King St W / Bay St (East Side),43.648575,-79.380042,17
7119,Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,0
7120,Gerrard St E / River St,43.663993,-79.358534,1
7121,Jarvis St / Dundas St E,43.657266,-79.374756,2
7122,Niagara St / Tecumseth St,43.641389,-79.404444,5
7123,424 Wellington St W,43.643834,-79.396649,15
7124,Dundas St E / Broadview Ave,43.662365,-79.351104,1
7126,Yonge St / Yorkville Ave,43.671944,-79.387778,2
7127,Bay St / Scollard St,43.672152,-79.39018,3
7128,Yonge St / Aylmer Ave,43.675492,-79.388858,10
7129,Davenport Rd / Avenue Rd,43.674991,-79.396273,3
7130,Davenport Rd / Bedford Rd,43.674446,-79.398331,2
7131,Taddle Creek Park,43.66986,-79.398443,1
7132,Kendal Ave / Spadina Rd,43.670318,-79.405181,0
7133,Summerhill Subway Station,43.681944,-79.390556,1
7135,Hanna Ave / Liberty St,43.63840090000001,-79.4197107,9
7136,Queen St W / Close Ave,43.640634,-79.435841,14
7137,Davenport Rd / Bathurst St,43.676667,-79.416111,21
7138,Davenport Rd / Christie St,43.675278,-79.423889,12
7139,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,3
7140,Macpherson Ave / Spadina Rd,43.675791,-79.40698,5
7141,Bridgman Ave / Kendal Ave,43.675556,-79.410278,5
7142,Bridgman Ave / Bathurst St,43.674444,-79.414722,8
7143,Kendal Ave / Bernard Ave,43.671513,-79.408317,1
7144,Palmerston Ave / Vermont Ave,43.671389,-79.416389,0
7146,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,0
7147,King St W / Fraser Ave,43.6394444,-79.42527777777778,15
7148,King St W / Joe Shuster Way,43.639444,-79.423611,18
7149,Yarmouth Rd / Christie St,43.67,-79.42083333333333,5
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,12
7151,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,1
7152,Ossington Ave / Bloor St W,43.661705,-79.425734,4
7153,Bloor St W / Christie St,43.6638889,-79.41888888888889,1
7154,Bathurst Subway Station,43.6666667,-79.41166666666668,0
7155,Bathurst St / Lennox St,43.663808,-79.410491,2
7156,Salem Ave / Bloor St W,43.6608333,-79.43166666666667,1
7157,Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,5
